date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:38	108612/108612	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Nov%202023%2014:25:20%20GMT	https://www.miamidade.gov/global/animals/home.page	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/global/animals/home.html	(from )
11:02:39	1034/1034	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Nov%202023%2014:26:52%20GMT	https://www.miamidade.gov/robots.txt		(from )
11:02:39	115128/115128	---MCZ	200	added ('OK')	text/css	etag:W/%22049b86f8b36d51:0%22	https://www.miamidade.gov/iwov-resources/grid/materialize.min.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/iwov-resources/grid/materialize.min.css	(from https://www.miamidade.gov/global/animals/home.page)
11:02:39	546/546	---MCZ	200	added ('OK')	text/css	etag:W/%2280ae23f1543d11:0%22	https://www.miamidade.gov/resources/css/js-slider.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/js-slider.css	(from https://www.miamidade.gov/global/animals/home.page)
11:02:40	115128/115128	---M-Z	200	added ('OK')	text/css	etag:%22093b9373bdad21:0%22	https://www.miamidade.gov/resources/css/materialize.min.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/materialize.min.css	(from https://www.miamidade.gov/global/animals/home.page)
11:02:40	95170/95170	---M-Z	200	added ('OK')	text/css	etag:%22803b372eb0cda1:0%22	https://www.miamidade.gov/resources/css/global-styles.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/global-styles.css	(from https://www.miamidade.gov/global/animals/home.page)
11:02:40	29067/29067	---M-Z	200	added ('OK')	text/css	etag:%220dfeff881f1d11:0%22	https://www.miamidade.gov/resources/css/font-awesome.min.css	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/css/font-awesome.min.css	(from https://www.miamidade.gov/global/animals/home.page)
11:02:41	93435/93435	---M-Z	200	added ('OK')	application/javascript	etag:%220e9246e699d31:0%22	https://www.miamidade.gov/resources/js/1.8.2.jquery.min.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/1.8.2.jquery.min.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:41	803/803	---MCZ	200	added ('OK')	application/javascript	etag:W/%220bcd3a5594dd11:0%22	https://www.miamidade.gov/resources/js/jquery.visible.min.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/jquery.visible.min.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:42	7800/7800	---M-Z	200	added ('OK')	application/javascript	etag:%220bc7f97b8a2d41:0%22	https://www.miamidade.gov/resources/js/md-global.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/md-global.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:43	138426/138426	---M-Z	200	added ('OK')	application/javascript	etag:%220ed16082f1d11:0%22	https://www.miamidade.gov/resources/js/materialize.min.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/materialize.min.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:43	2389/2389	---MCZ	200	added ('OK')	application/javascript	etag:W/%22037f6bab7a2d41:0%22	https://www.miamidade.gov/resources/js/flexMenu.min.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/flexMenu.min.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:43	45361/45361	---M-Z	200	added ('OK')	application/javascript	etag:%2280866b456d87d91:0%22	https://www.miamidade.gov/resources/js/global-scripts.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/global-scripts.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:44	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2002%20Nov%202023%2014:26:58%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/about%20animal/www.googletagmanager.com/gtm.d5445.delayed	(from https://www.miamidade.gov/global/animals/home.page)
11:02:44	8808/8808	---MCZ	200	added ('OK')	application/javascript	etag:W/%22018ee289b7d71:0%22	https://www.miamidade.gov/resources/js/components/number-polyfill.min.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/components/number-polyfill.min.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:44	4979/4979	---M-Z	200	added ('OK')	application/javascript	etag:%22802c97ee499d31:0%22	https://www.miamidade.gov/resources/js/jquery.url.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/jquery.url.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:45	1301/1301	---MCZ	200	added ('OK')	application/javascript	etag:W/%2280308811d899d31:0%22	https://www.miamidade.gov/resources/js/1.4.1.jquery.cookie.min.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/1.4.1.jquery.cookie.min.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:45	9103/9103	---MCZ	200	added ('OK')	application/javascript	etag:W/%2280add0242d55d11:0%22	https://www.miamidade.gov/resources/js/purl.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/purl.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:51	3063/3063	---MCZ	200	added ('OK')	application/javascript	etag:W/%220aac1765039d81:0%22	https://www.miamidade.gov/resources/js/login-authenticate.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/login-authenticate.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:51	1219/1219	---MCZ	200	added ('OK')	application/javascript	etag:W/%22803c12f8fc1cd71:0%22	https://www.miamidade.gov/resources/js/login-api-prod.js	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/js/login-api-prod.js	(from https://www.miamidade.gov/global/animals/home.page)
11:02:52	6944/6944	---M--	200	added ('OK')	image/png	etag:%2208b5f9d2d70d31:0%22	https://www.miamidade.gov/resources/global/images/md-logo-color.png	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/global/images/md-logo-color.png	(from https://www.miamidade.gov/global/animals/home.page)
11:02:52	50440/50440	---M--	200	added ('OK')	image/jpeg	etag:%2280e96bac3dfad51:0%22	https://www.miamidade.gov/resources/images/edesktop.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/edesktop.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:52	102371/102371	---M--	200	added ('OK')	image/jpeg	etag:%2280e862c44b4dd51:0%22	https://www.miamidade.gov/resources/images/banners/animal-services-innitiatives.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/banners/animal-services-innitiatives.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:52	58262/58262	---M--	200	added ('OK')	image/jpeg	etag:%2203b26ff37cd21:0%22	https://www.miamidade.gov/resources/images/services/adopt-a-pet.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/services/adopt-a-pet.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:52	32672/32672	---M--	200	added ('OK')	image/jpeg	etag:%2205ee75ee18bd31:0%22	https://www.miamidade.gov/resources/images/services/cat-with-vet.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/services/cat-with-vet.jpg	(from https://www.miamidade.gov/global/animals/home.page)
11:02:53	111926/111926	---M--	200	added ('OK')	image/jpeg	etag:%228096e9f7fc4d21:0%22	https://www.miamidade.gov/resources/images/services/lost-puppy.jpg	C:/My%20Web%20Sites/about%20animal/www.miamidade.gov/resources/images/services/lost-puppy.jpg	(from https://www.miamidade.gov/global/animals/home.page)
